CODE,Omschrijving
09324000-6,Afstandsverwarming
09330000-1,Zonne-energie
09331000-8,Zonnepanelen
09331100-9,Zonnecollectoren voor verwarmingsdoeleinden
09331200-0,Fotovoltaïsche zonnecellen
09332000-5,Zonne-energie-installatie
09340000-4,Nucleaire brandstoffen
09341000-1,Uranium
09342000-8,Plutonium
09343000-5,Radioactieve stoffen
09344000-2,Radio-isotopen
14000000-1,"Mijnbouw, basismetalen en aanverwante producten"
14200000-3,Zand en klei
14210000-6,"Grind, zand, steenslag en aggregaten"
14211000-3,Zand
14211100-4,Natuurlijk zand
14212000-0,"Granulaat, steengruis, steenpoeder, keien, grind, split en steenslag, steenmengels, zand-grindmengsels en andere aggregaten"
14212100-1,Keien en grind
14212110-4,Grind
14212120-7,Keien
14212200-2,Aggregaten
14212210-5,Zand-grindmengsel
14212300-3,Split en steenslag
14212310-6,Ballast
14212320-9,Granietsplit
14212330-2,Basaltsplit
14212400-4,Grond
14212410-7,Teelaarde
14212420-0,Ondergrond
14212430-3,Steengruis
14213000-7,"Macadam, teermacadam en teerzand"
14213100-8,Macadam
14213200-9,Teermacadam
14213300-0,Teerzand
14220000-9,Klei en porseleinaarde
14221000-6,Klei
14222000-3,Porseleinaarde
14300000-4,Mineralen voor de chemische en kunstmestindustrie
14310000-7,Mineralen voor de kunstmestindustrie
14311000-4,"Natuurlijk calcium, aluminiumcalciumfosfaat en ruwe natuurlijke kalizouten"
14311100-5,Natuurlijk calcium
14311200-6,Aluminiumcalciumfosfaten
14311300-7,Ruwe natuurlijke kalizouten
14312000-1,IJzerpyriet
14312100-2,Ongeroost pyriet
14320000-0,Chemische mineralen
14400000-5,Zout en zuiver natriumchloride
14410000-8,Steenzout
14420000-1,Zeezout
14430000-4,Geëvaporeerd zout en zuiver natriumchloride
14450000-0,Pekel
14500000-6,Nevenproducten van mijnbouw en steengroeven
14520000-2,Edelstenen en halfedelstenen; puimsteen; amaril; natuurlijke slijpmiddelen; andere mineralen en edele metalen
14521000-9,Edelstenen en halfedelstenen
14521100-0,Edelstenen
14521140-2,Stof of poeder van edelstenen
14521200-1,Halfedelstenen
14521210-4,Stof of poeder van halfedelstenen
14522000-6,Industriediamanten; puimsteen; amaril en andere natuurlijke slijpmiddelen
14522100-7,Puimsteen
14522200-8,Industriediamanten
14522300-9,Amaril
14522400-0,Natuurlijke slijpmiddelen
14523000-3,"Aanverwante mineralen, edele metalen en bijbehorende producten"
14523100-4,Mineralen
14523200-5,Goud
14523300-6,Zilver
14523400-7,Platina
14600000-7,Metaalertsen en legeringen
14610000-0,Metaalertsen
14611000-7,IJzerertsen
14612000-4,Non-ferrometaalertsen
14612100-5,Koperertsen
14612200-6,Nikkelertsen
14612300-7,Aluminiumertsen
14612400-8,Edelmetaalertsen
14612500-9,Loodertsen
14612600-0,Zinkertsen
14612700-1,Tinertsen
14613000-1,Uranium- en thoriumertsen
14613100-2,Uraniumertsen
14613200-3,Thoriumertsen
14614000-8,Diverse ertsen
14620000-3,Legeringen
14621000-0,Ferrolegeringen
14621100-1,Niet-EGKS-ferrolegeringen
14621110-4,Ferromangaan
14621120-7,Ferrochroom
14621130-0,Ferronikkel
14622000-7,Staal
14630000-6,"Slakken, gietschuim, ferro-afval en schroot"
14700000-8,Basismetalen
14710000-1,"IJzer, lood, zink, tin en koper"
14711000-8,IJzer
14711100-9,Ruw gietijzer
14712000-5,Lood
14713000-2,Zink
14714000-9,Tin
14715000-6,Koper
14720000-4,"Aluminium, nikkel, scandium, titanium en vanadium"
14721000-1,Aluminium
14721100-2,Aluminiumoxide
14722000-8,Nikkel
14723000-5,Scandium
14724000-2,Titanium
14725000-9,Vanadium
14730000-7,"Chroom, mangaan, kobalt, yttrium en zirkonium"
14731000-4,Chroom
14732000-1,Mangaan
14733000-8,Kobalt
14734000-5,Yttrium
14735000-2,Zirkonium
14740000-0,"Molybdeen, technetium, ruthenium en rodium"
14741000-7,Molybdeen
14742000-4,Technetium
14743000-1,Ruthenium
14744000-8,Rodium
14750000-3,"Cadmium, lutetium, hafnium, tantaal en wolfraam"
14751000-0,Cadmium
14752000-7,Lutetium
14753000-4,Hafnium
14754000-1,Tantaal
14755000-8,Wolfraam
14760000-6,"Iridium, gallium, indium, thallium en barium"
14761000-3,Iridium
14762000-0,Gallium
14763000-7,Indium
14764000-4,Thallium
14765000-1,Barium
14770000-9,"Cesium, strontium, rubidium en calcium"
14771000-6,Cesium
14772000-3,Strontium
14773000-0,Rubidium
14774000-7,Calcium
14780000-2,"Kalium, magnesium, natrium en lithium"
14781000-9,Kalium
14782000-6,Magnesium
14783000-3,Natrium
14784000-0,Lithium
14790000-5,"Niobium, osmium, renium en palladium"
14791000-2,Niobium
14792000-9,Osmium
14793000-6,Renium
14794000-3,Palladium
14800000-9,Diverse niet-metaalhoudende minerale producten
14810000-2,Schuurproducten
14811000-9,"Molenstenen, slijpstenen en slijpwielen"
14811100-0,Molenstenen
14811200-1,Slijpstenen
14811300-2,Slijpwielen
14812000-6,Schuurpoeder of -korrels
14813000-3,Kunstmatig korund
14814000-0,Kunstmatig grafiet
14820000-5,Glas
14830000-8,Fiberglas
14900000-0,Gerecycleerde secundaire grondstoffen
14910000-3,Gerecycleerde secundaire metaalhoudende grondstoffen
14920000-6,Gerecycleerde secundaire niet-metaalhoudende grondstoffen
14930000-9,Metaalhoudende as en residuen
15000000-8,"Voeding, dranken, tabak en aanverwante producten"
15100000-9,"Dierlijke producten, vlees en vleesproducten"
15110000-2,Vlees
15111000-9,Vlees van runderen
15111100-0,Rundvlees
15111200-1,Kalfsvlees
15112000-6,Pluimvee
15112100-7,Vers gevogelte
15112110-0,Ganzen
15112120-3,Kalkoenen
15112130-6,Kippen
15112140-9,Eenden
15112300-9,Levers van pluimvee
15112310-2,Foie gras
15113000-3,Varkensvlees
15114000-0,Slachtafval
15115000-7,Lams- en schapenvlees
15115100-8,Lamsvlees
15115200-9,Schapenvlees
15117000-1,Geitenvlees
15118000-8,"Paarden-, (muil)ezel- of muildiervlees"
15118100-9,Paardenvlees
15118900-7,Vlees van (muil)ezels of muildieren
15119000-5,Divers vlees
15119100-6,Konijnenvlees
15119200-7,Hazenvlees
15119300-8,Wild
15119400-9,Kikkerbillen
15119500-0,Duiven
